date-time,qty,charging
2025-10-28 00:00,75,true
2025-10-28 00:15,80,true
2025-10-28 00:30,80,true
2025-10-28 00:45,80,true
2025-10-28 01:00,80,true
2025-10-28 01:15,80,true
2025-10-28 01:30,81,true
2025-10-28 01:45,81,true
2025-10-28 02:00,81,true
2025-10-28 02:15,81,true
2025-10-28 02:30,87,true
2025-10-28 02:45,92,true
2025-10-28 03:00,95,true
2025-10-28 03:15,97,true
2025-10-28 03:30,100,true
2025-10-28 03:45,100,true
2025-10-28 04:00,100,true
2025-10-28 04:15,100,false
2025-10-28 04:30,100,false
2025-10-28 04:45,100,false
2025-10-28 05:00,100,false
2025-10-28 05:15,100,false
2025-10-28 05:30,100,false
2025-10-28 05:45,100,false
2025-10-28 06:00,100,false
2025-10-28 06:15,100,false
2025-10-28 06:30,100,false
2025-10-28 06:45,100,false
2025-10-28 07:00,100,false
2025-10-28 07:15,100,false
2025-10-28 07:30,100,false
2025-10-28 07:45,100,false
2025-10-28 08:00,100,false
2025-10-28 08:15,100,false
2025-10-28 08:30,100,false
2025-10-28 08:45,97,false
2025-10-28 09:00,92,false
2025-10-28 09:15,88,false
2025-10-28 09:30,81,false
2025-10-28 09:45,74,false
2025-10-28 10:00,71,false
2025-10-28 10:15,69,false
2025-10-28 10:30,62,false
2025-10-28 10:45,55,false
2025-10-28 11:00,50,false
2025-10-28 11:15,46,false
2025-10-28 11:30,41,false
2025-10-28 11:47,38,false
2025-10-28 12:00,37,false
2025-10-28 12:15,36,false
2025-10-28 12:30,35,false
2025-10-28 12:45,34,false
2025-10-28 13:00,33,false
2025-10-28 13:15,31,false
2025-10-28 13:30,28,false
2025-10-28 13:45,24,false
2025-10-28 14:00,15,false
2025-10-28 14:15,5,false
2025-10-28 14:30,4,true
2025-10-28 14:45,34,true
2025-10-28 15:00,59,true
2025-10-28 15:15,76,true
2025-10-28 15:30,83,true
2025-10-28 15:45,92,true
2025-10-28 16:00,94,true
2025-10-28 16:15,97,true
2025-10-28 16:30,99,true
2025-10-28 16:45,100,true
2025-10-28 17:00,100,false
2025-10-28 17:15,100,false
2025-10-28 17:30,100,false
2025-10-28 17:45,97,false
2025-10-28 18:00,94,false
2025-10-28 18:15,91,false
2025-10-28 18:30,87,false
2025-10-28 18:45,83,false
2025-10-28 19:00,79,false
2025-10-28 19:15,78,false
2025-10-28 19:30,76,false
2025-10-28 19:45,72,false
2025-10-28 20:00,69,false
2025-10-28 20:15,66,false
2025-10-28 20:45,58,true
2025-10-28 21:00,65,true
2025-10-28 21:15,73,true
2025-10-28 21:30,80,true
2025-10-28 21:45,86,true
2025-10-28 22:00,92,true
2025-10-28 22:15,95,true
2025-10-28 22:30,98,true
2025-10-28 22:45,99,true
2025-10-28 23:00,100,false
2025-10-28 23:15,100,true
2025-10-28 23:30,100,false
2025-10-28 23:45,99,false
