date-time,qty,charging
2026-07-15 00:00,42,false
2026-07-15 00:15,42,true
2026-07-15 00:30,44,true
2026-07-15 00:45,49,true
2026-07-15 01:00,55,true
2026-07-15 01:15,59,true
2026-07-15 01:30,63,true
2026-07-15 01:45,65,true
2026-07-15 02:00,67,true
2026-07-15 02:15,69,true
2026-07-15 02:30,71,true
2026-07-15 02:45,73,true
2026-07-15 03:00,74,true
2026-07-15 03:15,75,true
2026-07-15 03:30,76,true
2026-07-15 03:45,77,true
2026-07-15 04:00,78,true
2026-07-15 04:15,79,true
2026-07-15 04:30,79,true
2026-07-15 04:45,80,true
2026-07-15 05:00,83,true
2026-07-15 05:15,83,true
2026-07-15 05:30,83,true
2026-07-15 05:45,83,true
2026-07-15 06:00,83,true
2026-07-15 06:15,84,true
2026-07-15 06:30,84,true
2026-07-15 06:45,85,true
2026-07-15 07:00,85,true
2026-07-15 07:15,86,true
2026-07-15 07:30,86,true
2026-07-15 07:45,87,true
2026-07-15 08:00,87,true
2026-07-15 08:15,88,true
2026-07-15 08:30,88,false
2026-07-15 08:45,87,false
2026-07-15 09:00,83,false
2026-07-15 09:15,80,false
2026-07-15 09:30,76,false
2026-07-15 09:45,74,false
2026-07-15 10:00,69,false
2026-07-15 10:15,64,false
2026-07-15 10:30,62,false
2026-07-15 10:45,57,false
2026-07-15 11:00,51,false
2026-07-15 11:15,46,false
2026-07-15 11:30,40,false
2026-07-15 11:45,35,false
2026-07-15 12:00,29,false
2026-07-15 12:15,23,false
2026-07-15 12:30,16,false
2026-07-15 12:45,10,false
2026-07-15 13:00,6,false
2026-07-15 13:15,3,false
2026-07-15 13:30,null,null
2026-07-15 13:45,2,false
2026-07-15 14:00,9,true
2026-07-15 14:15,15,true
2026-07-15 14:30,21,true
2026-07-15 14:45,27,true
2026-07-15 15:00,33,true
2026-07-15 15:15,39,true
2026-07-15 15:30,45,true
2026-07-15 15:45,50,true
2026-07-15 16:00,55,true
2026-07-15 16:15,60,true
2026-07-15 16:30,63,true
2026-07-15 16:45,65,true
2026-07-15 17:00,67,true
2026-07-15 17:15,72,true
2026-07-15 17:30,78,true
2026-07-15 17:45,79,false
2026-07-15 18:00,77,false
2026-07-15 18:15,71,false
2026-07-15 18:30,66,false
2026-07-15 18:45,60,false
2026-07-15 19:15,49,false
2026-07-15 19:30,46,false
2026-07-15 19:45,41,false
2026-07-15 20:00,35,false
2026-07-15 20:15,32,false
2026-07-15 20:30,32,false
2026-07-15 20:45,32,false
2026-07-15 21:00,32,false
2026-07-15 21:15,32,false
2026-07-15 21:30,31,false
2026-07-15 21:45,31,false
2026-07-15 22:00,31,false
2026-07-15 22:15,29,false
2026-07-15 22:30,24,false
2026-07-15 22:45,24,false
2026-07-15 23:00,23,false
2026-07-15 23:15,29,true
2026-07-15 23:30,40,true
2026-07-15 23:45,52,true
