date-time,qty,charging
2025-11-16 00:00,25,false
2025-11-16 00:15,22,false
2025-11-16 00:45,,false
2025-11-16 01:00,11,false
2025-11-16 01:15,6,false
2025-11-16 01:30,2,false
2025-11-16 01:45,6,true
2025-11-16 02:00,21,true
2025-11-16 02:15,34,true
2025-11-16 02:30,45,true
2025-11-16 02:45,57,true
2025-11-16 03:00,68,true
2025-11-16 03:15,77,true
2025-11-16 03:30,84,true
2025-11-16 03:45,90,true
2025-11-16 04:00,94,true
2025-11-16 04:15,97,true
2025-11-16 04:30,98,true
2025-11-16 04:45,100,true
2025-11-16 05:00,100,false
2025-11-16 05:15,100,false
2025-11-16 05:30,100,false
2025-11-16 05:45,100,false
2025-11-16 06:00,100,false
2025-11-16 06:15,100,false
2025-11-16 06:30,100,false
2025-11-16 06:45,100,false
2025-11-16 07:00,100,false
2025-11-16 07:15,100,false
2025-11-16 07:30,100,false
2025-11-16 07:45,100,false
2025-11-16 08:00,100,false
2025-11-16 08:15,100,false
2025-11-16 08:30,100,false
2025-11-16 08:45,100,false
2025-11-16 09:00,100,false
2025-11-16 09:15,100,false
2025-11-16 09:30,100,false
2025-11-16 09:45,100,false
2025-11-16 10:00,100,false
2025-11-16 10:15,99,false
2025-11-16 10:30,96,false
2025-11-16 10:45,92,false
2025-11-16 11:00,89,false
2025-11-16 11:15,85,false
2025-11-16 11:30,81,false
2025-11-16 11:45,78,false
2025-11-16 12:00,74,false
2025-11-16 12:15,71,false
2025-11-16 12:30,67,false
2025-11-16 12:45,63,false
2025-11-16 13:00,58,false
2025-11-16 13:15,,false
2025-11-16 13:30,49,false
2025-11-16 13:45,44,false
2025-11-16 14:00,41,false
2025-11-16 14:15,37,false
2025-11-16 14:30,33,false
2025-11-16 14:45,,false
2025-11-16 15:00,26,false
2025-11-16 15:15,23,false
2025-11-16 15:30,21,false
2025-11-16 15:45,19,false
2025-11-16 16:00,17,false
2025-11-16 16:15,16,false
2025-11-16 16:30,,false
2025-11-16 16:45,13,false
2025-11-16 17:00,12,false
2025-11-16 17:15,10,false
2025-11-16 17:30,7,false
2025-11-16 17:45,5,false
2025-11-16 18:00,2,false
2025-11-16 18:15,2,false
2025-11-16 18:30,2,false
2025-11-16 18:45,2,false
2025-11-16 19:00,10,true
2025-11-16 19:15,22,true
2025-11-16 19:30,35,true
2025-11-16 19:45,48,true
2025-11-16 20:00,,true
2025-11-16 20:15,64,false
2025-11-16 20:30,64,false
2025-11-16 20:45,64,false
2025-11-16 21:00,63,false
2025-11-16 21:15,62,false
2025-11-16 21:30,61,false
2025-11-16 21:45,,false
2025-11-16 22:00,,false
2025-11-16 22:15,50,false
2025-11-16 22:30,46,false
2025-11-16 22:45,44,false
2025-11-16 23:00,44,false
2025-11-16 23:15,42,false
2025-11-16 23:30,40,false
2025-11-16 23:45,39,false
