date-time,qty,charging
2025-10-25 00:00,50,true
2025-10-25 00:30,74,true
2025-10-25 01:00,79,false
2025-10-25 02:00,67,false
2025-10-25 03:00,75,true
2025-10-25 04:00,80,true
2025-10-25 05:00,97,true
2025-10-25 06:00,100,false
2025-10-25 07:00,100,false
2025-10-25 08:00,100,false
2025-10-25 09:00,100,false
2025-10-25 10:00,95,false
2025-10-25 11:00,83,false
2025-10-25 12:00,74,false
2025-10-25 13:00,70,false
2025-10-25 13:30,69,false
2025-10-25 14:00,66,false
2025-10-25 14:30,60,false
2025-10-25 15:00,58,false
2025-10-25 15:30,57,false
2025-10-25 16:00,52,false
2025-10-25 16:30,49,false
2025-10-25 17:00,47,false
2025-10-25 17:30,46,false
2025-10-25 18:00,44,false
2025-10-25 18:30,43,false
2025-10-25 19:00,41,false
2025-10-25 20:00,28,false
2025-10-25 21:00,20,false
2025-10-25 22:00,11,false
2025-10-25 23:00,29,true
2025-10-25 23:30,56,false
