date-time,qty,charging
2026-07-27 00:00,3,false
2026-07-27 00:15,3,false
2026-07-27 00:30,2,false
2026-07-27 00:45,4,true
2026-07-27 01:00,15,true
2026-07-27 01:15,26,true
2026-07-27 01:30,37,true
2026-07-27 01:45,47,true
2026-07-27 02:00,56,true
2026-07-27 02:15,61,true
2026-07-27 02:30,67,true
2026-07-27 02:45,79,true
2026-07-27 03:00,88,true
2026-07-27 03:15,93,true
2026-07-27 03:30,96,true
2026-07-27 03:45,98,true
2026-07-27 04:00,100,true
2026-07-27 04:15,100,false
2026-07-27 04:30,100,false
2026-07-27 04:45,100,false
2026-07-27 05:00,100,false
2026-07-27 05:15,100,false
2026-07-27 05:30,100,false
2026-07-27 05:45,100,false
2026-07-27 06:00,100,false
2026-07-27 06:15,100,false
2026-07-27 06:30,100,false
2026-07-27 06:45,100,false
2026-07-27 07:00,100,false
2026-07-27 07:15,100,false
2026-07-27 07:30,100,false
2026-07-27 07:45,100,false
2026-07-27 08:00,100,false
2026-07-27 08:15,98,false
2026-07-27 08:30,93,false
2026-07-27 08:45,87,false
2026-07-27 09:00,82,false
2026-07-27 09:15,79,false
2026-07-27 09:30,74,false
2026-07-27 09:45,69,false
2026-07-27 10:00,63,false
2026-07-27 10:15,58,false
2026-07-27 10:30,52,false
2026-07-27 10:45,47,false
2026-07-27 11:00,40,false
2026-07-27 11:15,40,false
2026-07-27 11:30,40,false
2026-07-27 11:45,40,false
2026-07-27 12:00,35,false
2026-07-27 12:15,29,false
2026-07-27 12:30,26,false
2026-07-27 12:45,20,false
2026-07-27 13:00,13,false
2026-07-27 13:15,7,false
2026-07-27 13:30,8,true
2026-07-27 13:45,11,true
2026-07-27 14:00,13,true
2026-07-27 14:15,16,true
2026-07-27 14:30,19,true
2026-07-27 14:45,22,true
2026-07-27 15:00,24,true
2026-07-27 15:15,21,false
2026-07-27 15:30,15,false
2026-07-27 15:45,10,false
2026-07-27 16:00,5,false
2026-07-27 16:15,7,true
2026-07-27 16:30,9,true
2026-07-27 16:45,11,true
2026-07-27 17:00,13,true
2026-07-27 17:15,15,true
2026-07-27 17:30,17,true
2026-07-27 17:45,21,true
2026-07-27 18:00,25,true
2026-07-27 18:15,30,true
2026-07-27 18:30,35,true
2026-07-27 18:45,40,false
2026-07-27 19:15,34,false
2026-07-27 19:30,40,true
2026-07-27 19:45,63,true
2026-07-27 20:00,72,false
2026-07-27 20:15,70,false
2026-07-27 20:30,66,false
2026-07-27 20:45,63,false
2026-07-27 21:00,62,false
2026-07-27 21:15,59,false
2026-07-27 21:30,58,false
2026-07-27 21:45,55,false
2026-07-27 22:00,54,false
2026-07-27 22:15,51,false
2026-07-27 22:30,51,false
2026-07-27 22:45,50,false
2026-07-27 23:00,50,false
2026-07-27 23:15,50,false
2026-07-27 23:30,49,false
2026-07-27 23:45,48,false
